ProductLine,Product_Count_In_ProductLine,Product_Number,Product_Name,Barcode
Unknown,60,1,ALC ALC Green Silk Dress,42241782
Unknown,60,2,Ajay Ajay Medium Soft Brush,8908003630014
Unknown,60,3,Ask Food Ask Food Cherry,8908001006477
Unknown,60,4,BUDDS BUDDY BUDDS BUDDY,6185642394008
Unknown,60,5,BUDDS BUDDY BUDDS BUDDY,6185642399430
Unknown,60,6,BUDDS BUDDY BUDDS BUDDY,7422542635633
Unknown,60,7,BUDDS BUDDY BUDDS BUDDY,3678038910768
Unknown,60,8,BUDDS BUDDY BUDDS BUDDY (Specific Product Name Unknown),6185642406596
Unknown,60,9,Babila Babila India Product (Specific Product Name Unknown),8906034031114
Unknown,60,10,"Batch (Likely a distributor or batch identifier, not a specific brand) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch)",8904086320651
Unknown,60,11,"Batch (likely a distributor or batch identifier, not a specific brand of the product itself) Batch Cosmetic/Skincare/Beauty Product (EL1/N)",8901030783586
Unknown,60,12,"Batch (likely a distributor or batch identifier, not a specific brand) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch)",8904086321122
Unknown,60,13,"Batch (likely a distributor or batch identifier, not a specific brand) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch)",8904086310195
Unknown,60,14,"Batch (likely a distributor or batch identifier, not a specific brand) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch)",8904086310089
Unknown,60,15,"Batch (or potentially VLCC/VIP - further investigation needed) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch)",8904086310010
Unknown,60,16,"Batch Batch Cosmetic/Skincare Product (May 31, 2023 Batch)",8904086340192
Unknown,60,17,Batch Batch Cosmetic/Skincare/Beauty Product,8907233112062
Unknown,60,18,"Batch Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch)",8904086320170
Unknown,60,19,"Batch Batch Cosmetic/Skincare/Beauty Product (May 31, 2023)",8904086310423
Unknown,60,20,"Batch Batch Cosmetic/Skincare/Beauty Product (May 31, 2023)",8904086310126
Unknown,60,21,"Batch Batch Cosmetic/Skincare/Beauty Product (May 31, 2023)",8904086370021
Unknown,60,22,"Batch Batch Cosmetic/Skincare/Beauty Product (May 31, 2023)",8904086370014
Unknown,60,23,"Batch Batch Cosmetics and Skincare Product (May 31, 2023)",8907233112086
Unknown,60,24,Batch Batch VGA H3 Cosmetic/Skincare Product,8904086320828
Unknown,60,25,Batch Batch VGA PP Cosmetic/Skincare Product,8904086370052
Unknown,60,26,Batch VGA E2 Cosmetic/Skincare Product,8904086320484
Unknown,60,27,Bebeto Bebeto Sour Sticks,8690146680314
Unknown,60,28,Bombay Shaving Company Bombay Shaving Company Peel Off Mask Charcoal,8904086330759
Unknown,60,29,Bombay Shaving Company Bombay Shaving Company Peel Off Mask Charcoal,8901030785252
Unknown,60,30,Bottles (Brand name needs further investigation) Bottle or Flask (Specific type needs further investigation),8902061210652
Unknown,60,31,Budds Buddy Budds Buddy,3678038906860
Unknown,60,32,Department Department Store Item,8906126685713
Unknown,60,33,EL18 EL18 Cosmetic Product,8901030783555
Unknown,60,34,EL18 EL18 Cosmetic/Skincare Product,8901030783548
Unknown,60,35,EL18 EL18 Cosmetic/Skincare Product,8901030785238
Unknown,60,36,ELLE18 ELLE18 N/P,8901030665516
Unknown,60,37,Enchannteur Enchannteur Perfume,8888202005076
Unknown,60,38,GUBB GUBB Grocery Item,8906000424759
Unknown,60,39,Grocery Comb,8904086310232
Unknown,60,40,Grocery Grocery Item,8901326234518
Unknown,60,41,Grocery Grocery Item (8906000424742),8906000424742
Unknown,60,42,Hsiwjiwo Jdokdkdkj,8999999025281
Unknown,60,43,Impex Impex Appliance (Model Unknown),8906126687465
Unknown,60,44,JOCKEY JOCKEY Underwear (Specific Product Name Unknown),8901326052167
Unknown,60,45,JOCKEY JOCKEY Underwear (Specific Product Name Unknown),8901326279625
Unknown,60,46,JOCKEY JOCKEY Underwear (Specific Product Needs Further Identification),8901326320877
Unknown,60,47,NIVEA NIVEA Product (Item Code 8903105020107),8903105020107
Unknown,60,48,Nazila Nazila Sitaishi Sunscreen,4987176185877
Unknown,60,49,Old ME ME BUDS,8907233188241
Unknown,60,50,Old ORG TONR CUCU,8908008015762
Unknown,60,51,Peanut Butter Peanut Butter Kissen,8901030980053
Unknown,60,52,RASASI RASASI Deodorant Roll-on,614514701904
Unknown,60,53,Thanal Thanal 500g Product,8902102126737
Unknown,60,54,VEGA VEGA H Cosmetic/Skincare Product,8904086320477
Unknown,60,55,VEGA VEGA H Cosmetic/Skincare Product,8904086320118
Unknown,60,56,VEGA VEGA H Cosmetic/Skincare Product,8904086397011
Unknown,60,57,VEGA VEGA Makeup Brush,8904086310072
Unknown,60,58,Zee Novelties Pasta1,8901372054634
Unknown,60,59,Zee Novelties Pasta1 Product,8901372171584
Unknown,60,60,پی پی جی ما,8906037733657
Himalaya Herbals,36,1,Himalaya Himalaya Aloe & Cucumber Refreshing Body Lotion,8901138821197
Himalaya Herbals,36,2,Himalaya Himalaya Anti-Dandruff Tea Tree Shampoo,8901138002466
Himalaya Herbals,36,3,Himalaya Himalaya Anti-Dandruff Tea Tree Shampoo,8901138002473
Himalaya Herbals,36,4,Himalaya Himalaya Anti-Dandruff Tea Tree Shampoo,8901138008314
Himalaya Herbals,36,5,Himalaya Himalaya Blackhead Clearing Walnut Face Scrub,8901138510268
Himalaya Herbals,36,6,Himalaya Himalaya Cocoa Butter Intensive Body Lotion,8901138508159
Himalaya Herbals,36,7,Himalaya Himalaya Cucumber & Coconut Soap,8901138511616
Himalaya Herbals,36,8,Himalaya Himalaya Dark Spot Clearing Turmeric Face Pack,8901138006099
Himalaya Herbals,36,9,Himalaya Himalaya Dark Spot Clearing Turmeric Face Scrub,8901138006136
Himalaya Herbals,36,10,Himalaya Himalaya Dark Spot Clearing Turmeric Face Scrub,8901138006105
Himalaya Herbals,36,11,Himalaya Himalaya Dark Spot Clearing Turmeric Face Wash,8901138006143
Himalaya Herbals,36,12,Himalaya Himalaya Dark Spot Treatment Turmeric Face Mask,8901138006129
Himalaya Herbals,36,13,Himalaya Himalaya Deep Cleansing Apricot Face Wash,8901138712198
Himalaya Herbals,36,14,Himalaya Himalaya Herbal Deep Cleansing Apricot Face Wash,8901138712181
Himalaya Herbals,36,15,Himalaya Himalaya Herbal Lip Balm,8901138509231
Himalaya Herbals,36,16,Himalaya Himalaya Herbal Purifying Neem Face Wash,8901138512187
