ProductLine,Product_Count,Sample_Products
Unknown,60,"ALC ALC Green Silk Dress (42241782), Ajay Ajay Medium Soft Brush (8908003630014), Ask Food Ask Food Cherry (8908001006477)"
Himalaya Herbals,36,"Himalaya Himalaya Aloe & Cucumber Refreshing Body Lotion (8901138821197), Himalaya Himalaya Anti-Dandruff Tea Tree Shampoo (8901138002466), Himalaya Himalaya Anti-Dandruff Tea Tree Shampoo (8901138002473)"
Shampoo,27,"Clinic Plus Clinic Plus Shampoo 80ml (8901030937163), Clinic Plus Clinic Plus Strong & Long Shampoo (8901030937170), Clinic Plus Clinic Plus Strong & Long Shampoo (8901030937187)"
SUGAR POP,27,"SUGAR Cosmetics SUGAR POP Longwear Matte Compact (8904320711856), SUGAR Cosmetics SUGAR POP Matte Lipcolour (8904320718206), SUGAR Cosmetics SUGAR POP Matte Lipcolour (8904320747961)"
Fevicryl Acrylic Colours,20,"Fevicryl Fevicryl Acrylic Colour - Cerulean Blue (15ml) (8901860510277), Fevicryl Fevicryl Acrylic Colour - Chrome Yellow (8901860510031), Fevicryl Fevicryl Acrylic Colour - Deep Bril Purple (15ml) (8901860510314)"
Nail Pops,20,"Elle 18 Elle 18 Glossy Finish Nail Pops Nail Polish (8901030665448), Elle 18 Elle 18 Nail Pops Nail Color, Shade 14 (8901030663949), Elle 18 Elle 18 Nail Pops Nail Color, Shade 60 (8901030665967)"
Hair Oils,18,"Bajaj Bajaj Almond Drop Hair Oil (8906014765992), Clear Clear Anti-Dandruff Nourishing Hair Oil (8901030907555), Dhathri Dhathri Anti-Dandruff Hair Oil (8904070908773)"
Nivea Men,17,"Nivea Nivea Fresh Active Male Roll-On Deodorant (42332978), Nivea Nivea Men Acne Face Wash (4005900738509), Nivea Nivea Men Active Care Lip Balm SPF (8904256020510)"
HMC,17,"Babila Babila Handmade Comb HMC-73 (8906069420327), Babila Babila Handmade Comb HMC-92 (8906069420273), Batch Batch VGA COMB HMC-04 (8904086390074)"
Matic,16,"Arial Arial Matic Liquid Top Load Laundry Detergent (4987176143822), Ariel Ariel Matic Front Load Liquid Detergent (4987176162779), Ariel Ariel Matic Liquid Laundry Detergent (Front Load) (4987176143839)"
Sebamed Baby,15,"Sebamed Sebamed Baby Body Lotion with Camomile (4103040908148), Sebamed Sebamed Baby Body Milk pH 5.5 (4103040019578), Sebamed Sebamed Baby Bubble Bath (pH 5.5 with Chamomile, No Tears) (4103040019530)"
Vinod Platinum,14,"Vinod Vinod Platinum Triply Stainless Steel Extra Deep Kadai (827016306212), Vinod Vinod Platinum Triply Stainless Steel Extra Deep Kadai (827016306168), Vinod Vinod Platinum Triply Stainless Steel Frypan 16 cm (827016307806)"
Vector,14,"Parker Parker Vector Matte Black Chrome Trim Ball Pen (8901198429937), Parker Parker Vector Matte Black GT Fountain Pen (8901198429883), Parker Parker Vector Matte Black GT Rollerball Pen (8901198429920)"
Air Fresheners,13,"Ambi Pur Ambi Pur Air Floral Escape Air Freshener (4987176128102), Ambi Pur Ambi Pur Aqua Car Freshener (4987176162021), Ambi Pur Ambi Pur Car Air Freshener (4987176128058)"
Himalaya BabyCare,13,"Himalaya Himalaya Baby Cream (8901138831578), Himalaya Himalaya Baby Cream (8901138511487), Himalaya Himalaya Baby Hair Oil (8901138845483)"
Gillette Mach3,12,"Gillette Gillette Mach3 Charcoal Razor (4987176165268), Gillette Gillette Mach3 Charcoal Razor Blades (4987176165305), Gillette Gillette Mach3 Charcoal Shaving Razor Blades (2-Pack) (4987176165282)"
Vinod Cookware,12,"Vinod Vinod Cookware Dosa Tawa, 28cm Blue/Black (827016063085), Vinod Vinod Cookware Dosa Tawa, 28cm Blue/Black (827016060640), Vinod Vinod Cookware Induction Friendly Two-Tone Saucepot Set (2 Pieces) (827016172268)"
Mee Mee Baby Care,12,"Mee Mee Mee Mee 360° Movable Silicone Bristle Baby Feeding Bottle Cleaning Brush (8907233247276), Mee Mee Mee Mee 360° Movable Silicone Bristle Baby Feeding Bottle Cleaning Brush (8907233145503), Mee Mee Mee Mee Anti-Bacterial Baby Liquid Cleanser (8907233173377)"
Ariel Matic,11,"Ariel Ariel Matic Detergent Powder Top Load (4987176251121), Ariel Ariel Matic Detergent Powder for Front Load Washing Machines (4987176251145), Ariel Ariel Matic Front Load Liquid Detergent (2L + 500ml Free) (4987176126610)"
Condoms,11,"Kama Sutra Kama Sutra Dotted Condoms (8901216100121), KamaSutra KamaSutra LongLast Condoms (8901216405653), KamaSutra KamaSutra Longlast Condoms (12-pack) (8901216406285)"
Color Pops,11,"Elle 18 Elle 18 Color Pops Matte Lip Color (8901030813030), Elle 18 Elle 18 Color Pops Matte Lip Color Cherry Wine (8901030813085), Elle 18 Elle 18 Color Pops Matte Lip Colour (8901030813122)"
Fit Me,11,"Maybelline Maybelline New York Fit Me Matte + Poreless Compact Powder SPF (8901526605224), Maybelline Maybelline New York Fit Me Matte + Poreless Foundation 230 (8901526605217), Maybelline Maybelline New York Fit Me Matte + Poreless Liquid Foundation (8901526589548)"
Instant Coffee,10,"BRU BRU Instant Pure Coffee (8901030904561), Bru Bru Green Label Instant Coffee (8901030774980), Bru Bru Instant Coffee (8901030935220)"
Unspecified,10,"BUDDS BUDDY BUDDS BUDDY (Specific Product Name Unknown) (6185642412290), ELLE 18 ELLE 18 NC26 (8901030663888), Grocery Grocery Item (8901097416212)"
Whisper Ultra,10,"Whisper Whisper Ultra Hygiene + Comfort 3 Smart Layers XL+ Sanitary Pads (4987176237262), Whisper Whisper Ultra Hygiene + Comfort 3 Smart Layers with Soft Wings XL Sanitary Pads (4987176237231), Whisper Whisper Ultra Hygiene + Comfort Sanitary Pads (XL) (4987176237071)"
Omega Select Plus,10,"Prestige Prestige Omega Select Plus 12 Pits Paniyarakkal with Lid (8901365303480), Prestige Prestige Omega Select Plus 310 mm Aluminium Pathri Tawa (8901365307457), Prestige Prestige Omega Select Plus Fry Pan (8901365307372)"
Cartini,10,"Cartini by Godrej Cartini All-Purpose Scissors with Pouch (8904039471317), Cartini by Godrej Cartini by Godrej Stainless Steel Dressmaking Scissors (8904039462599), Godrej Cartini by Godrej 6266 Classic Paring Knife (8904039462667)"
Garnier Bright Complete,10,"Garnier Garnier Bright Complete 30X Vitamin C Boost Serum (8901526592623), Garnier Garnier Bright Complete Brightening Duo Action Face Wash (8901526005314), Garnier Garnier Bright Complete Vitamin C Booster Anti-Dark Spot Face Serum (8901526592616)"
Face Wash,10,"Himalaya Herbals Himalaya Herbals Face Wash (8901138509224), Himalaya Herbals Himalaya Herbals Purifying Neem Face Wash with Dispenser (8901138822477), Himalaya Himalaya Lemon Face Wash (8901138505547)"
Parker Vector,10,"Parker Parker Vector Gold Refillable Rollerball and Ballpoint Pen Gift Set (8901198430025), Parker Parker Vector Gold Roller Ball Pen (8901198427520), Parker Parker Vector Matte Black CT Fountain Pen (8901198429913)"
Gillette Guard,9,"Gillette Gillette Guard 1 Razor (4987176150950), Gillette Gillette Guard 3 Razor (4987176102041), Gillette Gillette Guard 3 Razor Cartridge (4902430914710)"
Gillette Venus,9,"Gillette Gillette Venus Bikini Sensitive Hair Removal Razor (4987176220172), Gillette Gillette Venus Bikini Sensitive Hair Removal Razor (4987176204202), Gillette Gillette Venus Breeze Razor with 2 Refills (4987176179272)"
Eye Makeup,9,"Batch LAVANYA CLR PERFM Kajal (8904070907462), Elle 18 Elle 18 Kajal (8901030309991), Eyetex Eyetex Kajal (8906029307248)"
Pressure Cookers,9,"Butterfly Butterfly Alu Pressure Cooker 5L (8906022171150), Butterfly Butterfly Pressure Cooker (8906022171167), Hawkins Hawkins 5 Liter Silver Pressure Cooker (8901165672809)"
Xtra Shine,9,"Maxwax Maxwax Xtra Shine Liquid Shoe Polish (8908000432277), Maxwax Maxwax Xtra Shine Liquid Shoe Polish (8908000432284), Maxwax Maxwax Xtra Shine Liquid Shoe Polish (8908000432109)"
VGA,9,"Batch Batch VGA Dye Brush PMB-02 (8904086310638), Batch Batch VGA E16-RB Hairbrush (8904086321184), Batch VGA CTP-01 Cuticle Trim (8904086330186)"
Gentleman,9,"Yardley London Yardley London Gentleman Classic Perfume (8903105032742), Yardley London Yardley London Gentleman Cruiser Eau De Parfum (8903105034432), Yardley London Yardley London Gentleman Explorer Eau de Parfum (8903105034425)"
Fiama Di Wills,9,"Fiama Di Wills Fiama Di Wills Lemongrass and Jojoba Gentle Body Wash (8901725928179), Fiama Di Wills Fiama Di Wills Peach & Avocado Gel Bar (8905110001737), Fiama Fiama Cooling Shower Gel - Menthol & Magnolia (8905110001461)"
Engage,9,"Engage Engage Amber Hues Eau De Parfum (8905110006008), Engage Engage Fantasia Eau De Parfum (8905110006039), Engage Engage G2 Cologne Spray (8901725953102)"
Monster Energy,9,"Monster Energy Monster Assault Energy (5060166698799), Monster Energy Monster Energy Drink (5060166698874), Monster Energy Monster Energy Lewis Hamilton Zero Sugar (5060896625027)"
Old Spice After Shave,8,"Old Spice Old Spice After Shave Balm (4987176037374), Old Spice Old Spice After Shave Lotion Original (4987176176783), Old Spice Old Spice Fresh Lime After Shave Lotion (4987176176806)"
Old Spice,8,"Old Spice Old Spice Amber Deodorant Body Spray for Men (4987176176332), Old Spice Old Spice Bearglove Deodorant Stick (4015600862640), Old Spice Old Spice Citron Antiperspirant & Deodorant Stick (8006540442234)"
Gala Cleaning Products,8,"Gala Gala Angle Wiper (8901663203871), Gala Gala Double Hockey Antibac Toilet Brush (8901663209668), Gala Gala Dust Control Mop (8901663202966)"
Classic,8,"Baby Dreams Baby Dreams Classic Manual Breast Pump (Pink) (6940648905623), Borosil Borosil Classic Glass Jar 300ml (8901309220453), CELLO CELLO Classic Glass Storage Canister (8901372194583)"
Skore Condoms,8,"Skore Skore 1500 + Dots Condoms (8906007131285), Skore Skore Banana Flavored Condoms (8906007130844), Skore Skore Condoms Pina Colada Flavour (8906007131308)"
Face Care,8,"Bombay Shaving Company Bombay Shaving Company Peel Off Mask Charcoal (8906093870013), Bombay Shaving Company Bombay Shaving Company Peel Off Mask Charcoal (8904086393068), Himalaya Himalaya Moisturizing Aloe Vera Face Gel (8901138848484)"
Baby,8,"Chicco Chicco Baby Body Lotion (8058664152377), Chicco Chicco Baby Talcum Powder (8058664153176), Chicco Chicco Baby Talcum Powder (8058664153152)"
Unknown (requires further investigation),8,"Batch (or potentially VLCC/VIP - further investigation needed) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch) (8904086320392), Batch (or potentially VLCC/VIP - needs further investigation) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch) (8904086320132), Batch (or potentially VLCC/VIP - needs further investigation) Batch Cosmetic/Skincare/Beauty Product (May 31, 2023 Batch) (8904086310133)"
Frontier,8,"Parker Parker Frontier Gold Fountain Pen with Gold-Plated Clip (Fine Nib) (8901198442752), Parker Parker Frontier Gold Plated Ball Pen (8901198441465), Parker Parker Frontier Gold Rollerball Pen (8901198442745)"
Pringles,8,"Pringles Pringles BBQ (038000183713), Pringles Pringles Bbq Crisps (038000183737), Pringles Pringles Cheddar Cheese Potato Crisps (038000138577)"
Surf Excel Matic,7,"Surf Excel Surf Excel Matic Front Load Liquid Detergent (8901030992216), Surf Excel Surf Excel Matic Front Load Liquid Detergent (8901030695469), Surf Excel Surf Excel Matic Top Load Detergent Powder (8901030884238)"
Soap,7,"Get Himalaya Himalaya Neem & Turmeric Soap (8901138711962), Himalaya Himalaya Almond & Rose Soap (8901138511593), Himalaya Himalaya Honey & Cream Soap (8901138511609)"
